Month,Year,Full-time,Part-time,Grand Total,Quarter,AirlineID
7,1994,78765,14915,93680,3,AA
8,1994,78786,14976,93762,3,AA
9,1994,78923,14224,93147,3,AA
10,1994,78678,14170,92848,4,AA
11,1994,78060,14472,92532,4,AA
12,1994,77822,14617,92439,4,AA
1,1995,78112,13883,91995,1,AA
2,1995,78095,13431,91526,1,AA
3,1995,78112,13313,91425,1,AA
4,1995,77802,13177,90979,2,AA
5,1995,78053,12799,90852,2,AA
6,1995,78276,12704,90980,2,AA
7,1995,78292,12779,91071,3,AA
8,1995,78335,12783,91118,3,AA
9,1995,78764,12519,91283,3,AA
10,1995,78680,12564,91244,4,AA
11,1995,79104,12806,91910,4,AA
12,1995,79349,13260,92609,4,AA
1,1996,79586,13466,93052,1,AA
2,1996,79807,13210,93017,1,AA
3,1996,79425,13231,92656,1,AA
4,1996,79172,13144,92316,2,AA
5,1996,78456,13576,92032,2,AA
6,1996,78446,13722,92168,2,AA
7,1996,71789,13722,85511,3,AA
8,1996,73716,12268,85984,3,AA
9,1996,72053,13607,85660,3,AA
10,1996,72122,13580,85702,4,AA
11,1996,72287,13553,85840,4,AA
12,1996,74303,12296,86599,4,AA
1,1997,72590,13635,86225,1,AA
2,1997,72365,13735,86100,1,AA
3,1997,72069,14177,86246,1,AA
4,1997,72053,14219,86272,2,AA
5,1997,73134,13374,86508,2,AA
6,1997,73736,13512,87248,2,AA
7,1997,73988,13882,87870,3,AA
8,1997,74977,13358,88335,3,AA
9,1997,73993,13800,87793,3,AA
10,1997,73889,13783,87672,4,AA
11,1997,73893,13817,87710,4,AA
12,1997,74735,13568,88303,4,AA
1,1998,73967,13732,87699,1,AA
2,1998,73534,13868,87402,1,AA
3,1998,73680,13889,87569,1,AA
4,1998,73721,13846,87567,2,AA
5,1998,73386,14233,87619,2,AA
6,1998,73754,14322,88076,2,AA
7,1998,74047,14443,88490,3,AA
8,1998,75472,13850,89322,3,AA
9,1998,74643,14435,89078,3,AA
10,1998,75109,14446,89555,4,AA
11,1998,75426,14497,89923,4,AA
12,1998,76343,14117,90460,4,AA
1,1999,75251,14720,89971,1,AA
2,1999,76231,14707,90938,1,AA
3,1999,76682,14590,91272,1,AA
4,1999,77024,14881,91905,2,AA
5,1999,77645,15042,92687,2,AA
6,1999,78217,15118,93335,2,AA
7,1999,78872,15447,94319,3,AA
8,1999,80007,14901,94908,3,AA
9,1999,80737,15502,96239,3,AA
10,1999,80987,15360,96347,4,AA
11,1999,81162,15281,96443,4,AA
12,1999,82264,14935,97199,4,AA
1,2000,81420,15474,96894,1,AA
2,2000,81769,15585,97354,1,AA
3,2000,82755,15541,98296,1,AA
4,2000,82701,15439,98140,2,AA
5,2000,83064,15459,98523,2,AA
6,2000,83605,15562,99167,2,AA
7,2000,83767,15529,99296,3,AA
8,2000,85140,14676,99816,3,AA
9,2000,84636,15143,99779,3,AA
10,2000,85069,15035,100104,4,AA
11,2000,85675,14995,100670,4,AA
12,2000,86683,14536,101219,4,AA
1,2001,86075,15133,101208,1,AA
2,2001,86275,15083,101358,1,AA
3,2001,87025,15183,102208,1,AA
4,2001,87286,15140,102426,2,AA
5,2001,87156,15162,102318,2,AA
6,2001,87286,15140,102426,2,AA
7,2001,88665,15177,103842,3,AA
8,2001,88665,14177,102842,3,AA
9,2001,84660,13279,97939,3,AA
10,2001,84016,12838,96854,4,AA
11,2001,78113,13298,91411,4,AA
12,2001,77692,13384,91076,4,AA
1,2002,90518,14972,105490,1,AA
2,2002,89655,14577,104232,1,AA
3,2002,88806,14575,103381,1,AA
4,2002,88586,14421,103007,2,AA
5,2002,91364,15014,106378,2,AA
6,2002,91332,15247,106579,2,AA
7,2002,90721,15817,106538,3,AA
8,2002,91839,15472,107311,3,AA
9,2002,91774,15295,107069,3,AA
10,2002,91521,15447,106968,4,AA
11,2002,88988,14826,103814,4,AA
12,2002,88256,13857,102113,4,AA
1,2003,87837,13777,101614,1,AA
2,2003,88256,13857,102113,1,AA
3,2003,83708,13686,97394,1,AA
4,2003,82511,13571,96082,2,AA
5,2003,81207,13372,94579,2,AA
6,2003,78935,13146,92081,2,AA
7,2003,76097,12299,88396,3,AA
8,2003,75801,12236,88037,3,AA
9,2003,74646,12037,86683,3,AA
10,2003,73599,11569,85168,4,AA
11,2003,73858,11611,85469,4,AA
12,2003,73858,11611,85469,4,AA
1,2004,73581,11254,84835,1,AA
2,2004,73618,11136,84754,1,AA
3,2004,73455,11186,84641,1,AA
4,2004,73520,11187,84707,2,AA
5,2004,73596,11149,84745,2,AA
6,2004,73480,11169,84649,2,AA
7,2004,74259,11145,85404,3,AA
8,2004,74245,11137,85382,3,AA
9,2004,73636,11060,84696,3,AA
10,2004,73209,10905,84114,4,AA
11,2004,73287,10986,84273,4,AA
12,2004,72260,11028,83288,4,AA
1,2005,71232,10990,82222,1,AA
2,2005,70592,10910,81502,1,AA
3,2005,70184,11007,81191,1,AA
4,2005,69892,11063,80955,2,AA
5,2005,70495,11136,81631,2,AA
6,2005,70306,11282,81588,2,AA
7,2005,74087,12814,86901,3,AA
8,2005,70200,11409,81609,3,AA
9,2005,69864,11192,81056,3,AA
10,2005,69571,11063,80634,4,AA
11,2005,69466,11111,80577,4,AA
12,2005,69130,11388,80518,4,AA
1,2006,69028,11337,80365,1,AA
2,2006,68982,11268,80250,1,AA
3,2006,68825,11204,80029,1,AA
4,2006,68792,10998,79790,2,AA
5,2006,68205,11252,79457,2,AA
6,2006,68069,10712,78781,2,AA
7,2006,67954,10691,78645,3,AA
8,2006,68037,10585,78622,3,AA
9,2006,67640,10543,78183,3,AA
10,2006,67438,10566,78004,4,AA
11,2006,67861,10566,78427,4,AA
12,2006,67768,10402,78170,4,AA
1,2007,67521,10345,77866,1,AA
2,2007,67384,10264,77648,1,AA
3,2007,67809,10739,78548,1,AA
4,2007,67813,10721,78534,2,AA
5,2007,67870,10710,78580,2,AA
6,2007,67606,10672,78278,2,AA
7,2007,67583,10643,78226,3,AA
8,2007,67812,10616,78428,3,AA
9,2007,67939,10514,78453,3,AA
10,2007,68004,10510,78514,4,AA
11,2007,67849,10873,78722,4,AA
12,2007,67747,10954,78701,4,AA
1,2008,67834,10898,78732,1,AA
2,2008,67738,10827,78565,1,AA
3,2008,67694,10799,78493,1,AA
4,2008,67679,10764,78443,2,AA
5,2008,67902,10732,78634,2,AA
6,2008,67787,10669,78456,2,AA
7,2008,67771,10667,78438,3,AA
8,2008,67187,10628,77815,3,AA
9,2008,65522,10179,75701,3,AA
10,2008,65326,10132,75458,4,AA
11,2008,65143,9990,75133,4,AA
12,2008,65134,9940,75074,4,AA
1,2009,64987,9917,74904,1,AA
2,2009,64979,9912,74891,1,AA
3,2009,64977,9913,74890,1,AA
4,2009,64975,9911,74886,2,AA
5,2009,63500,9832,73332,2,AA
6,2009,63404,9742,73146,2,AA
7,2009,63258,9664,72922,3,AA
8,2009,62959,9692,72651,3,AA
9,2009,62917,9604,72521,3,AA
10,2009,62027,9750,71777,4,AA
11,2009,61680,9666,71346,4,AA
12,2009,61855,9595,71450,4,AA
1,2010,61983,9300,71283,1,AA
2,2010,61906,9263,71169,1,AA
3,2010,61485,9363,70848,1,AA
4,2010,61209,9351,70560,2,AA
5,2010,61094,9342,70436,2,AA
6,2010,61291,9204,70495,2,AA
7,2010,61184,9161,70345,3,AA
8,2010,61133,9164,70297,3,AA
9,2010,60829,9083,69912,3,AA
10,2010,60766,9033,69799,4,AA
11,2010,60843,9036,69879,4,AA
12,2010,61229,8987,70216,4,AA
1,2011,61197,8966,70163,1,AA
2,2011,61571,8925,70496,1,AA
3,2011,61709,8983,70692,1,AA
4,2011,61911,8992,70903,2,AA
5,2011,61832,9038,70870,2,AA
6,2011,61977,9004,70981,2,AA
7,2011,62053,9016,71069,3,AA
8,2011,61831,8942,70773,3,AA
9,2011,61838,8909,70747,3,AA
10,2011,62019,8914,70933,4,AA
11,2011,61921,8872,70793,4,AA
12,2011,61684,8893,70577,4,AA
1,2012,61435,8865,70300,1,AA
2,2012,61016,8794,69810,1,AA
3,2012,61544,7851,69395,1,AA
4,2012,61383,7813,69196,2,AA
5,2012,61111,7738,68849,2,AA
6,2012,60743,7676,68419,2,AA
7,2012,60029,8390,68419,3,AA
8,2012,59655,8193,67848,3,AA
9,2012,59352,8089,67441,3,AA
10,2012,58761,7878,66639,4,AA
11,2012,57783,7347,65130,4,AA
12,2012,56024,7099,63123,4,AA
1,2013,55890,7072,62962,1,AA
2,2013,55959,7004,62963,1,AA
3,2013,55519,6973,62492,1,AA
4,2013,55597,6899,62496,2,AA
5,2013,55420,6915,62335,2,AA
6,2013,55735,6856,62591,2,AA
7,2013,55637,6837,62474,3,AA
8,2013,55726,6827,62553,3,AA
9,2013,55462,6828,62290,3,AA
10,2013,55838,6821,62659,4,AA
11,2013,56038,6847,62885,4,AA
12,2013,56017,6882,62899,4,AA
1,2014,56245,6881,63126,1,AA
2,2014,56242,6914,63156,1,AA
3,2014,56372,6926,63298,1,AA
4,2014,56435,6927,63362,2,AA
5,2014,56288,6918,63206,2,AA
6,2014,56391,6900,63291,2,AA
7,2014,56480,6964,63444,3,AA
8,2014,56174,6856,63030,3,AA
9,2014,56419,6819,63238,3,AA
10,2014,57043,6835,63878,4,AA
11,2014,57208,6812,64020,4,AA
12,2014,57308,6811,64119,4,AA
1,2015,57549,6900,64449,1,AA
2,2015,57891,7038,64929,1,AA
3,2015,58443,7294,65737,1,AA
4,2015,59068,7370,66438,2,AA
5,2015,59529,7390,66919,2,AA
6,2015,59905,7427,67332,2,AA
7,2015,90786,12080,102866,3,AA
8,2015,90620,12198,102818,3,AA
9,2015,90592,12215,102807,3,AA
10,2015,90810,12126,102936,4,AA
11,2015,91294,12133,103427,4,AA
12,2015,91242,12085,103327,4,AA
1,2016,91482,12054,103536,1,AA
2,2016,91407,11995,103402,1,AA
3,2016,91694,12058,103752,1,AA
4,2016,91917,12085,104002,2,AA
5,2016,92372,12112,104484,2,AA
6,2016,92653,12022,104675,2,AA
7,2016,92797,12022,104819,3,AA
8,2016,92938,11962,104900,3,AA
9,2016,93022,12030,105052,3,AA
10,2016,93065,12251,105316,4,AA
11,2016,93349,12154,105503,4,AA
12,2016,93435,12145,105580,4,AA
1,2017,93400,12179,105579,1,AA
2,2017,93721,12248,105969,1,AA
3,2017,94139,12312,106451,1,AA
4,2017,93896,12433,106329,2,AA
5,2017,94281,12494,106775,2,AA
6,2017,94110,12922,107032,2,AA
7,2017,94325,12982,107307,3,AA
8,2017,94123,13148,107271,3,AA
9,2017,94096,13165,107261,3,AA
10,2017,94144,13136,107280,4,AA
11,2017,94110,13115,107225,4,AA
12,2017,94080,13130,107210,4,AA
1,2018,94256,13151,107407,1,AA
2,2018,94303,13197,107500,1,AA
3,2018,94756,13303,108059,1,AA
4,2018,95457,12770,108227,2,AA
5,2018,96153,12750,108903,2,AA
6,2018,96543,12628,109171,2,AA
7,2018,96407,12538,108945,3,AA
8,2018,96005,12511,108516,3,AA
9,2018,95964,12450,108414,3,AA
10,2018,95915,12412,108327,4,AA
11,2018,95215,12358,107573,4,AA
12,2018,95249,12341,107590,4,AA
1,2019,94446,12353,106799,1,AA
2,2019,94466,12235,106701,1,AA
3,2019,94993,12279,107272,1,AA
4,2019,95373,12158,107531,2,AA
5,2019,95595,12178,107773,2,AA
6,2019,96045,12062,108107,2,AA
7,2019,95806,12012,107818,3,AA
8,2019,95061,11915,106976,3,AA
9,2019,95069,11912,106981,3,AA
10,2019,95541,11889,107430,4,AA
11,2019,95225,11899,107124,4,AA
12,2019,95518,11863,107381,4,AA
1,2020,95612,11840,107452,1,AA
2,2020,96021,11884,107905,1,AA
3,2020,97373,11735,109108,1,AA
4,2020,97083,11496,108579,2,AA
5,2020,96062,11284,107346,2,AA
6,2020,96061,11191,107252,2,AA
7,2020,95792,11236,107028,3,AA
8,2020,95312,11232,106544,3,AA
9,2020,95197,10973,106170,3,AA
10,2020,79281,11565,90846,4,AA
11,2020,78761,11613,90374,4,AA
12,2020,88418,12587,101005,4,AA
1,2021,87926,12483,100409,1,AA
2,2021,90255,11187,101442,1,AA
3,2021,90243,11060,101303,1,AA
4,2021,88211,10682,98893,2,AA
5,2021,86714,10951,97665,2,AA
6,2021,87718,11022,98740,2,AA
7,2021,88130,11023,99153,3,AA
8,2021,88345,10943,99288,3,AA
9,2021,86522,10968,97490,3,AA
10,2021,85979,11130,97109,4,AA
11,2021,86112,11414,97526,4,AA
12,2021,86324,11557,97881,4,AA
1,2022,87377,11823,99200,1,AA
2,2022,87999,12066,100065,1,AA
3,2022,89059,12453,101512,1,AA
4,2022,89379,12766,102145,2,AA
5,2022,90332,12814,103146,2,AA
6,2022,90598,12958,103556,2,AA
7,2022,90647,12944,103591,3,AA
8,2022,90399,12985,103384,3,AA
9,2022,90867,12861,103728,3,AA
10,2022,91114,12694,103808,4,AA
11,2022,91439,12625,104064,4,AA
12,2022,91293,12550,103843,4,AA
1,2023,92038,12507,104545,1,AA
2,2023,92443,12424,104867,1,AA
3,2023,93199,12553,105752,1,AA
4,2023,94248,12606,106854,2,AA
5,2023,95103,12709,107812,2,AA
6,2023,95655,12658,108313,2,AA
7,2023,95458,12509,107967,3,AA
8,2023,95286,12526,107812,3,AA
9,2023,95362,12601,107963,3,AA
10,2023,95722,12648,108370,4,AA
11,2023,95892,12535,108427,4,AA
12,2023,95285,12416,107701,4,AA
1,2024,95588,12370,107958,1,AA
2,2024,95654,12332,107986,1,AA
3,2024,95827,12306,108133,1,AA
4,2024,95864,12387,108251,2,AA
5,2024,96324,12373,108697,2,AA
6,2024,96543,12347,108890,2,AA
7,2024,96220,12266,108486,3,AA
8,2024,95149,12131,107280,3,AA
9,2024,95044,12247,107291,3,AA
10,2024,95921,12376,108297,4,AA
11,2024,95686,12357,108043,4,AA
12,2024,95328,12241,107569,4,AA
7,1998,24,0,24,3,G4
8,1998,24,0,24,3,G4
9,1998,25,0,25,3,G4
10,1998,26,0,26,4,G4
11,1998,25,0,25,4,G4
12,1998,24,0,24,4,G4
1,1999,25,0,25,1,G4
2,1999,26,0,26,1,G4
3,1999,29,0,29,1,G4
4,1999,29,0,29,2,G4
5,1999,38,7,45,2,G4
6,1999,47,19,66,2,G4
7,1999,47,19,66,3,G4
8,1999,49,19,68,3,G4
9,1999,50,29,79,3,G4
10,1999,52,31,83,4,G4
11,1999,64,25,89,4,G4
12,1999,65,32,97,4,G4
1,2000,63,32,95,1,G4
2,2000,63,36,99,1,G4
3,2000,72,27,99,1,G4
4,2000,92,11,103,2,G4
5,2000,76,30,106,2,G4
6,2000,81,32,113,2,G4
7,2000,100,48,148,3,G4
8,2000,103,49,152,3,G4
9,2000,100,54,154,3,G4
10,2000,107,52,159,4,G4
11,2000,107,52,159,4,G4
12,2000,42,6,48,4,G4
1,2001,39,7,46,1,G4
2,2001,41,8,49,1,G4
3,2001,39,8,47,1,G4
4,2001,39,8,47,2,G4
5,2001,39,8,47,2,G4
6,2001,43,6,49,2,G4
7,2001,45,10,55,3,G4
8,2001,49,9,58,3,G4
9,2001,47,9,56,3,G4
10,2001,49,7,56,4,G4
11,2001,49,7,56,4,G4
12,2001,47,9,56,4,G4
1,2002,66,13,79,1,G4
2,2002,68,12,80,1,G4
3,2002,73,13,86,1,G4
4,2002,77,16,93,2,G4
5,2002,80,16,96,2,G4
6,2002,75,17,92,2,G4
7,2002,81,21,102,3,G4
8,2002,102,21,123,3,G4
9,2002,89,24,113,3,G4
10,2002,102,24,126,4,G4
11,2002,103,19,122,4,G4
12,2002,96,21,117,4,G4
1,2003,102,23,125,1,G4
2,2003,102,24,126,1,G4
3,2003,97,23,120,1,G4
4,2003,129,24,153,2,G4
5,2003,135,25,160,2,G4
6,2003,160,30,190,2,G4
7,2003,152,75,227,3,G4
8,2003,180,79,259,3,G4
9,2003,180,79,259,3,G4
10,2003,243,45,288,4,G4
11,2003,234,38,272,4,G4
12,2003,254,55,309,4,G4
1,2004,263,51,314,1,G4
2,2004,265,59,324,1,G4
3,2004,295,61,356,1,G4
4,2004,286,57,343,2,G4
5,2004,303,55,358,2,G4
6,2004,302,65,367,2,G4
7,2004,323,84,407,3,G4
8,2004,311,79,390,3,G4
9,2004,324,82,406,3,G4
10,2004,317,84,401,4,G4
11,2004,326,88,414,4,G4
12,2004,339,93,432,4,G4
1,2005,341,92,433,1,G4
2,2005,348,92,440,1,G4
3,2005,384,100,484,1,G4
4,2005,371,111,482,2,G4
5,2005,393,117,510,2,G4
6,2005,399,113,512,2,G4
7,2005,406,101,507,3,G4
8,2005,407,102,509,3,G4
9,2005,436,74,510,3,G4
10,2005,470,73,543,4,G4
11,2005,486,136,622,4,G4
12,2005,517,76,593,4,G4
1,2006,531,171,702,1,G4
2,2006,553,195,748,1,G4
3,2006,574,205,779,1,G4
4,2006,579,224,803,2,G4
5,2006,612,227,839,2,G4
6,2006,616,246,862,2,G4
7,2006,625,248,873,3,G4
8,2006,646,278,924,3,G4
9,2006,646,281,927,3,G4
10,2006,685,285,970,4,G4
11,2006,710,281,991,4,G4
12,2006,701,289,990,4,G4
1,2007,727,281,1008,1,G4
2,2007,751,288,1039,1,G4
3,2007,766,297,1063,1,G4
4,2007,780,302,1082,2,G4
5,2007,796,321,1117,2,G4
6,2007,791,320,1111,2,G4
7,2007,793,346,1139,3,G4
8,2007,828,339,1167,3,G4
9,2007,855,360,1215,3,G4
10,2007,895,367,1262,4,G4
11,2007,954,372,1326,4,G4
12,2007,985,390,1375,4,G4
1,2008,986,377,1363,1,G4
2,2008,1028,383,1411,1,G4
3,2008,1082,395,1477,1,G4
4,2008,1110,395,1505,2,G4
5,2008,1107,385,1492,2,G4
6,2008,1110,378,1488,2,G4
7,2008,1116,407,1523,3,G4
8,2008,1108,397,1505,3,G4
9,2008,1086,392,1478,3,G4
10,2008,1113,387,1500,4,G4
11,2008,1122,427,1549,4,G4
12,2008,1135,425,1560,4,G4
1,2009,1138,429,1567,1,G4
2,2009,1177,442,1619,1,G4
3,2009,1199,439,1638,1,G4
4,2009,1235,437,1672,2,G4
5,2009,1239,443,1682,2,G4
6,2009,1262,446,1708,2,G4
7,2009,1269,447,1716,3,G4
8,2009,1272,452,1724,3,G4
9,2009,1289,460,1749,3,G4
10,2009,1284,461,1745,4,G4
11,2009,1315,454,1769,4,G4
12,2009,1339,452,1791,4,G4
1,2010,1328,406,1734,1,G4
2,2010,1362,396,1758,1,G4
3,2010,1401,392,1793,1,G4
4,2010,1429,388,1817,2,G4
5,2010,1442,374,1816,2,G4
6,2010,1443,380,1823,2,G4
7,2010,1443,374,1817,3,G4
8,2010,1436,376,1812,3,G4
9,2010,1433,370,1803,3,G4
10,2010,1445,363,1808,4,G4
11,2010,1430,368,1798,4,G4
12,2010,1428,361,1789,4,G4
1,2011,1427,399,1826,1,G4
2,2011,1449,340,1789,1,G4
3,2011,1443,331,1774,1,G4
4,2011,1455,316,1771,2,G4
5,2011,1418,225,1643,2,G4
6,2011,1438,256,1694,2,G4
7,2011,1425,229,1654,3,G4
8,2011,1432,230,1662,3,G4
9,2011,1428,234,1662,3,G4
10,2011,1445,235,1680,4,G4
11,2011,1450,224,1674,4,G4
12,2011,1479,222,1701,4,G4
1,2012,1494,225,1719,1,G4
2,2012,1535,225,1760,1,G4
3,2012,1584,222,1806,1,G4
4,2012,1615,226,1841,2,G4
5,2012,1625,215,1840,2,G4
6,2012,1638,211,1849,2,G4
7,2012,1644,204,1848,3,G4
8,2012,1644,203,1847,3,G4
9,2012,1662,213,1875,3,G4
10,2012,1657,244,1901,4,G4
11,2012,1655,247,1902,4,G4
12,2012,1693,245,1938,4,G4
1,2013,1685,246,1931,1,G4
2,2013,1733,267,2000,1,G4
3,2013,1731,296,2027,1,G4
4,2013,1751,295,2046,2,G4
5,2013,1750,312,2062,2,G4
6,2013,1758,311,2069,2,G4
7,2013,1875,300,2175,3,G4
8,2013,1787,320,2107,3,G4
9,2013,1831,333,2164,3,G4
10,2013,1847,323,2170,4,G4
11,2013,1880,335,2215,4,G4
12,2013,1894,341,2235,4,G4
1,2014,1907,346,2253,1,G4
2,2014,1960,347,2307,1,G4
3,2014,1963,333,2296,1,G4
4,2014,1924,329,2253,2,G4
5,2014,1990,316,2306,2,G4
6,2014,2060,347,2407,2,G4
7,2014,2059,336,2395,3,G4
8,2014,2084,328,2412,3,G4
9,2014,2150,122,2272,3,G4
10,2014,2172,326,2498,4,G4
11,2014,2235,326,2561,4,G4
12,2014,2245,319,2564,4,G4
1,2015,2237,320,2557,1,G4
2,2015,2304,311,2615,1,G4
3,2015,2292,302,2594,1,G4
4,2015,2292,300,2592,2,G4
5,2015,2371,298,2669,2,G4
6,2015,2394,318,2712,2,G4
7,2015,2406,309,2715,3,G4
8,2015,2466,307,2773,3,G4
9,2015,2494,312,2806,3,G4
10,2015,2570,333,2903,4,G4
11,2015,2570,333,2903,4,G4
12,2015,2674,337,3011,4,G4
1,2016,2729,330,3059,1,G4
2,2016,2828,359,3187,1,G4
3,2016,2844,360,3204,1,G4
4,2016,2919,353,3272,2,G4
5,2016,3024,367,3391,2,G4
6,2016,3041,364,3405,2,G4
7,2016,3241,364,3605,3,G4
8,2016,3063,356,3419,3,G4
9,2016,3095,376,3471,3,G4
10,2016,3154,386,3540,4,G4
11,2016,3041,364,3405,4,G4
12,2016,3235,354,3589,4,G4
1,2017,3253,351,3604,1,G4
2,2017,3311,354,3665,1,G4
3,2017,3344,374,3718,1,G4
4,2017,3556,370,3926,2,G4
5,2017,3424,374,3798,2,G4
6,2017,3432,383,3815,2,G4
7,2017,3467,379,3846,3,G4
8,2017,3485,421,3906,3,G4
9,2017,3492,415,3907,3,G4
10,2017,3538,411,3949,4,G4
11,2017,3560,400,3960,4,G4
12,2017,3545,406,3951,4,G4
1,2018,3541,415,3956,1,G4
2,2018,3576,414,3990,1,G4
3,2018,3566,420,3986,1,G4
4,2018,3589,407,3996,2,G4
5,2018,3622,430,4052,2,G4
6,2018,3619,441,4060,2,G4
7,2018,3629,439,4068,3,G4
8,2018,3643,436,4079,3,G4
9,2018,3622,426,4048,3,G4
10,2018,3643,425,4068,4,G4
11,2018,3646,435,4081,4,G4
12,2018,3643,516,4159,4,G4
1,2019,3526,435,3961,1,G4
2,2019,3636,430,4066,1,G4
3,2019,3615,442,4057,1,G4
4,2019,3644,458,4102,2,G4
5,2019,3676,448,4124,2,G4
6,2019,3729,462,4191,2,G4
7,2019,3711,470,4181,3,G4
8,2019,3748,445,4193,3,G4
9,2019,3824,455,4279,3,G4
10,2019,3896,456,4352,4,G4
11,2019,3926,461,4387,4,G4
12,2019,3908,457,4365,4,G4
1,2020,3935,459,4394,1,G4
2,2020,4001,477,4478,1,G4
3,2020,4070,417,4487,1,G4
4,2020,4084,413,4497,2,G4
5,2020,4069,406,4475,2,G4
6,2020,4036,400,4436,2,G4
7,2020,4006,409,4415,3,G4
8,2020,3987,412,4399,3,G4
9,2020,3976,414,4390,3,G4
10,2020,3730,422,4152,4,G4
11,2020,3756,418,4174,4,G4
12,2020,3748,409,4157,4,G4
1,2021,3746,409,4155,1,G4
2,2021,3756,420,4176,1,G4
3,2021,3748,424,4172,1,G4
4,2021,3774,421,4195,2,G4
5,2021,3833,468,4301,2,G4
6,2021,3872,477,4349,2,G4
7,2021,3923,494,4417,3,G4
8,2021,3976,513,4489,3,G4
9,2021,3973,539,4512,3,G4
10,2021,4052,537,4589,4,G4
11,2021,4105,560,4665,4,G4
12,2021,4157,550,4707,4,G4
1,2022,4235,563,4798,1,G4
2,2022,4332,580,4912,1,G4
3,2022,4403,578,4981,1,G4
4,2022,4520,566,5086,2,G4
5,2022,4656,701,5357,2,G4
6,2022,4810,740,5550,2,G4
7,2022,4811,725,5536,3,G4
8,2022,4838,703,5541,3,G4
9,2022,4931,708,5639,3,G4
10,2022,4961,694,5655,4,G4
11,2022,5004,662,5666,4,G4
12,2022,4982,648,5630,4,G4
1,2023,5000,670,5670,1,G4
2,2023,4994,672,5666,1,G4
3,2023,4974,672,5646,1,G4
4,2023,5007,696,5703,2,G4
5,2023,5088,731,5819,2,G4
6,2023,5060,751,5811,2,G4
7,2023,5099,735,5834,3,G4
8,2023,5116,727,5843,3,G4
9,2023,5177,802,5979,3,G4
10,2023,5199,835,6034,4,G4
11,2023,5230,845,6075,4,G4
12,2023,5226,834,6060,4,G4
1,2024,5363,897,6260,1,G4
2,2024,5438,973,6411,1,G4
3,2024,5453,996,6449,1,G4
4,2024,5444,993,6437,2,G4
5,2024,5499,994,6493,2,G4
6,2024,5493,1000,6493,2,G4
7,2024,5449,975,6424,3,G4
8,2024,5426,938,6364,3,G4
9,2024,5382,889,6271,3,G4
10,2024,5455,933,6388,4,G4
11,2024,5533,964,6497,4,G4
12,2024,5516,950,6466,4,G4
